artifact_or_module,requirement_ids,source_of_truth
"android/tracebox-core/; android/tracebox-storage/; android/tracebox-directboot/","ASN-L0383;ASN-L0384;ASN-L0385;ASN-L0386;ASN-L0387;ASN-L0388;ASN-L0392;ASN-L0393;ASN-L0394;ASN-L0395;ASN-L0399;ASN-L0400;ASN-L0401;ASN-L0402;ASN-L0403;ASN-L0404;ASN-L0405;ASN-L0406;ASN-L0407;ASN-L0408;ASN-L0409;ASN-L0413;ASN-L0414;ASN-L0415;ASN-L0416;ASN-L0417;ASN-L0418;ASN-L0422;ASN-L0423;ASN-L0424;ASN-L0425;ASN-L0426;ASN-L0427;ASN-L0428;ASN-L0429;ASN-L0430;ASN-L0434;ASN-L0435;ASN-L0436;ASN-L0438;ASN-L0440;ASN-L0441;ASN-L0442;ASN-L0443;ASN-L0444;ASN-L0445;ASN-L0446;ASN-L0447;ASN-L0448;ASN-L0449;ASN-L0450;ASN-L0451;ASN-L0452;ASN-L0453;ASN-L0459;ASN-L0460;ASN-L0461;ASN-L0462;ASN-L0463;ASN-L0464;ASN-L0465;ASN-L0466;ASN-L0467;ASN-L0468;ASN-L0469","docs/traceability/requirements.csv"
"android/tracebox-export/; android/tracebox-export-ui/","ASN-L0597;ASN-L0598;ASN-L0599;ASN-L0600;ASN-L0601;ASN-L0602;ASN-L0603;ASN-L0604;ASN-L0605;ASN-L0606;ASN-L0607;ASN-L0608;ASN-L0609;ASN-L0610;ASN-L0614;ASN-L0615;ASN-L0616;ASN-L0617;ASN-L0618;ASN-L0619;ASN-L0620;ASN-L0621;ASN-L0622;ASN-L0623;ASN-L0627;ASN-L0628;ASN-L0629;ASN-L0630;ASN-L0631;ASN-L0632;ASN-L0636;ASN-L0637;ASN-L0638;ASN-L0639;ASN-L0640;ASN-L0641;ASN-L0642;ASN-L0643;ASN-L0644;ASN-L0648;ASN-L0649;ASN-L0650;ASN-L0651;ASN-L0655;ASN-L0656;ASN-L0657;ASN-L0658;ASN-L0659;ASN-L0660;ASN-L0664;ASN-L0665;ASN-L0666;ASN-L0667;ASN-L0668;ASN-L0672;ASN-L0673;ASN-L0674;ASN-L0675","docs/traceability/requirements.csv"
"android/tracebox-export/; android/tracebox-export-ui/; rust/tbdiag-format/","ARCH-L1002;ARCH-L1003;ARCH-L1004;ARCH-L1005;ARCH-L1006;ARCH-L1007;ARCH-L1008;ARCH-L1009;ARCH-L1010;ARCH-L1016;ARCH-L1017;ARCH-L1018;ARCH-L1019;ARCH-L1020;ARCH-L1021;ARCH-L1062;ARCH-L1063;ARCH-L1064;ARCH-L1065;ARCH-L1066;ARCH-L1068;ARCH-L1072;ARCH-L1073;ARCH-L1074;ARCH-L1075;ARCH-L1251;ARCH-L1252;ARCH-L1253;ARCH-L1254;ARCH-L1255;ARCH-L1256;ARCH-L1257;ARCH-L1258;ARCH-L1259;PLAN-L0091;PLAN-L0092;PLAN-L0093;PLAN-L0094;PLAN-L0095;PLAN-L0096;PLAN-L0097","docs/traceability/requirements.csv"
"build-logic/; benchmarks/; test-apps/; specs/; docs/adr/","ARCH-L1110;ARCH-L1111;ARCH-L1112;ARCH-L1113;ARCH-L1114;ARCH-L1115;ARCH-L1116;ARCH-L1117;ARCH-L1118;ARCH-L1120;ARCH-L1329;ARCH-L1331;ARCH-L1332;ARCH-L1333;ARCH-L1334;ARCH-L1335;ARCH-L1336;ARCH-L1337;ARCH-L1338;ARCH-L1339;ARCH-L1340;ARCH-L1341;ARCH-L1342;ARCH-L1346;ARCH-L1347;ARCH-L1348;ARCH-L1349;ARCH-L1350;ARCH-L1351","docs/traceability/requirements.csv"
"conformance/; rust/tbdiag-cli/","ARCH-L1098;ARCH-L1099;ARCH-L1100;ARCH-L1101;ARCH-L1102;ARCH-L1103;ARCH-L1104;ARCH-L1132;ARCH-L1133;ARCH-L1134;ARCH-L1135;ARCH-L1136;ARCH-L1137;ARCH-L1138;ARCH-L1139","docs/traceability/requirements.csv"
"docs/adr/0008-engineering-feasibility-prerequisite-supersession.md; docs/project/implementation-ledger.md; docs/project/phase0-feasibility-status.md","ADR8-L0017;ADR8-L0018;ADR8-L0022;ADR8-L0023;ADR8-L0024;ADR8-L0025;ADR8-L0026;ADR8-L0030","docs/traceability/requirements.csv"
"native/; android/tracebox-jvm-crash/; android/tracebox-anr-exit/; rust/","ASN-L0477;ASN-L0478;ASN-L0479;ASN-L0480;ASN-L0481;ASN-L0482;ASN-L0483;ASN-L0484;ASN-L0485;ASN-L0486;ASN-L0487;ASN-L0489;ASN-L0493;ASN-L0494;ASN-L0495;ASN-L0496;ASN-L0497;ASN-L0498;ASN-L0499;ASN-L0500;ASN-L0501;ASN-L0502;ASN-L0503;ASN-L0504;ASN-L0508;ASN-L0509;ASN-L0510;ASN-L0511;ASN-L0512;ASN-L0513;ASN-L0514;ASN-L0515;ASN-L0516;ASN-L0517;ASN-L0518;ASN-L0519;ASN-L0520;ASN-L0521;ASN-L0525;ASN-L0526;ASN-L0527;ASN-L0528;ASN-L0529;ASN-L0530;ASN-L0531;ASN-L0532;ASN-L0533;ASN-L0534;ASN-L0535;ASN-L0536;ASN-L0540;ASN-L0541;ASN-L0542;ASN-L0543;ASN-L0544;ASN-L0548;ASN-L0549;ASN-L0550;ASN-L0551;ASN-L0552;ASN-L0556;ASN-L0557;ASN-L0558;ASN-L0559;ASN-L0560;ASN-L0561;ASN-L0562;ASN-L0563;ASN-L0564;ASN-L0565;ASN-L0566;ASN-L0568;ASN-L0570;ASN-L0571;ASN-L0572;ASN-L0576;ASN-L0577;ASN-L0578;ASN-L0579;ASN-L0580;ASN-L0581;ASN-L0582;ASN-L0583;ASN-L0584;ASN-L0585;ASN-L0586;ASN-L0587;ASN-L0588;ASN-L0589","docs/traceability/requirements.csv"
"native/; android/tracebox-native/; android/tracebox-anr-exit/","ADR1-L0031;ADR1-L0032;ADR1-L0033;ADR1-L0034;ADR1-L0035;ADR1-L0036;ARCH-L0252;ARCH-L0256;ARCH-L0257;ARCH-L0258;ARCH-L0259;ARCH-L0260;ARCH-L0261;ARCH-L0263;ARCH-L0264;ARCH-L0265;ARCH-L0266;ARCH-L0267;ARCH-L0268;ARCH-L0269;ARCH-L0271;ARCH-L0273;ARCH-L0334;ARCH-L0335;ARCH-L0336;ARCH-L0337;ARCH-L0338;ARCH-L0339;ARCH-L0340;ARCH-L0341;ARCH-L0342;ARCH-L0348;ARCH-L0349;ARCH-L0350;ARCH-L0351;ARCH-L0355;ARCH-L0356;ARCH-L0357;ARCH-L0358;ARCH-L0360;ARCH-L0756;ARCH-L0757;ARCH-L0758;ARCH-L0759;ARCH-L0760;ARCH-L0761;ARCH-L0762;ARCH-L0763;ARCH-L0785;ARCH-L0786;ARCH-L0787;ARCH-L0789;ARCH-L0795;ARCH-L0796;ARCH-L0797;ARCH-L0798;ARCH-L0799;ARCH-L0800;ARCH-L0801;ARCH-L0807;ARCH-L0809;ARCH-L0810;ARCH-L0811;ARCH-L0812;ARCH-L0813;ARCH-L0814;ARCH-L0815;ARCH-L1205;ARCH-L1206;ARCH-L1207;ARCH-L1208;ARCH-L1209;ARCH-L1210;ARCH-L1211;ARCH-L1212;ARCH-L1213;ARCH-L1214;ARCH-L1215;ARCH-L1221;ARCH-L1222;ARCH-L1223;ARCH-L1224;ARCH-L1225;ARCH-L1226;ARCH-L1227;ARCH-L1228;ARCH-L1229;ARCH-L1299;ARCH-L1301;ARCH-L1302;ARCH-L1303;ARCH-L1304;ARCH-L1305;ARCH-L1306;ARCH-L1307;ARCH-L1308;ARCH-L1310;ARCH-L1314;ARCH-L1316;ARCH-L1317;ARCH-L1318;ARCH-L1319;ARCH-L1320;ARCH-L1321","docs/traceability/requirements.csv"
"phase0/; specs/; docs/adr/; native/; android/; benchmarks/; test-apps/","ASN-L0223;ASN-L0224;ASN-L0225;ASN-L0226;ASN-L0227;ASN-L0228;ASN-L0229;ASN-L0230;ASN-L0236;ASN-L0237;ASN-L0238;ASN-L0239;ASN-L0240;ASN-L0241;ASN-L0242;ASN-L0243;ASN-L0244;ASN-L0245;ASN-L0246;ASN-L0247;ASN-L0248;ASN-L0249;ASN-L0255;ASN-L0256;ASN-L0258;ASN-L0262;ASN-L0263;ASN-L0264;ASN-L0265;ASN-L0266;ASN-L0267;ASN-L0268;ASN-L0270;ASN-L0274;ASN-L0275;ASN-L0276;ASN-L0277;ASN-L0278;ASN-L0279;ASN-L0281;ASN-L0282;ASN-L0283;ASN-L0284;ASN-L0285;ASN-L0286;ASN-L0287;ASN-L0288;ASN-L0289;ASN-L0291;ASN-L0292;ASN-L0293;ASN-L0294;ASN-L0295;ASN-L0296;ASN-L0297;ASN-L0299;ASN-L0300;ASN-L0301;ASN-L0302;ASN-L0303;ASN-L0304;ASN-L0305;ASN-L0306;ASN-L0310;ASN-L0311;ASN-L0312;ASN-L0313;ASN-L0314","docs/traceability/requirements.csv"
"rust/tbdiag-cli/; tooling/tracebox-gradle-plugin/; conformance/","ASN-L0683;ASN-L0684;ASN-L0685;ASN-L0686;ASN-L0687;ASN-L0688;ASN-L0689;ASN-L0693;ASN-L0694;ASN-L0695;ASN-L0696;ASN-L0697;ASN-L0698;ASN-L0699;ASN-L0700;ASN-L0704;ASN-L0705;ASN-L0706;ASN-L0707;ASN-L0708;ASN-L0709;ASN-L0710;ASN-L0711;ASN-L0712;ASN-L0713;ASN-L0717;ASN-L0718;ASN-L0719;ASN-L0720;ASN-L0721;ASN-L0722;ASN-L0723;ASN-L0727;ASN-L0728;ASN-L0729;ASN-L0730;ASN-L0731;ASN-L0732;ASN-L0733;ASN-L0734;ASN-L0735;ASN-L0736;ASN-L0737;ASN-L0738;ASN-L0740;ASN-L0744;ASN-L0746","docs/traceability/requirements.csv"
