"work_package","work","dependencies","acceptance","status","satisfied_by_prior_commit","notes_or_evidence"
"C1.1","Formal privacy/event schema","F0.1;F0.3","Stable bounded privacy-classified schema","PASS","","`schema/events.json` drives privacy and bounded fields. Evidence: `evidence/phase1/schema-compiler.json`."
"C1.2","Schema model and compiler","C1.1","Kotlin/C/C++/Rust/protobuf/docs generation and golden tests","PASS","","One strict model generates Kotlin recording types/functions, C structs/declarations, Rust ABI types, correct protobuf scalar types, decoder metadata, labels, and docs; drift golden test passes. Evidence: `evidence/phase1/schema-compiler.json`."
"C1.3","Kotlin public API","C1.2","Generated-only recording API","PASS","","`android/tracebox-api` accepts only schema-generated bounded values; enablement is checked before construction. Evidence: `evidence/phase1/kotlin-api-and-identity.json`."
"C1.4","Versioned C ABI","C1.2","Size-prefixed ABI and compatibility tests","PASS","","Generated C event layouts and the emergency public view use v1 headers; the Phase 0 raw 256-byte storage remains internal. MSVC builds and CTest validates emergency, ABI, generated-event linkage, and initialization compatibility. Evidence: `evidence/final/c1-native-abi-msvc-validation.json`."
"C1.5","Rust bindings/wrapper","C1.4","Generated sys crate and safe wrapper","PASS","","Exported size-prefixed `extern ""C""` functions catch unwinds; prior Rust tests and the now-passing C ABI prerequisite validate the wrapper contract. Evidence: `evidence/phase1/rust-bindings-and-identities.json`, `evidence/final/c1-native-abi-msvc-validation.json`."
"C1.6","Identity and build contract","F0.2;C1.2","Internal identities and build/symbol catalog","IN_PROGRESS","","Opaque typed identity allocation journals before return; summaries are deterministic and journaled. The Gradle plugin captures an AGP-produced R8 mapping SHA-256/derived ID and scans native ELF artifacts through public AGP artifact APIs. Current fixture libraries do not contain GNU `.note.gnu.build-id`, so the catalog records an explicit `sha256` fallback rather than claiming a GNU ELF build ID. Evidence: `evidence/phase1/generated-c-link-and-build-catalog-fix.json`."
"E6.1","C1/C2 segment AEAD","STABLE_STORAGE;SEPARATE_AUTHORIZATION","Gated post-foundation encryption","NOT_APPLICABLE_WITH_RATIONALE","","Outside foundation and requires separate authorization."
"E6.2","Age X25519","STABLE_PACKAGE;SEPARATE_AUTHORIZATION","Gated recipient encryption","NOT_APPLICABLE_WITH_RATIONALE","","Outside foundation and requires separate authorization."
"E6.3","Metrics and traces","STABLE_SCHEMA;STABLE_PERFORMANCE","Out of foundation scope","NOT_APPLICABLE_WITH_RATIONALE","","Outside foundation and requires separate authorization."
"F0.1","Freeze terminology and invariants","—","Threat model, privacy classes, evidence grades, readiness states approved","PASS","76c57c4482ead7e45c900a170014761b692fd8fd","Frozen by ADR-0002 through ADR-0007 and `specs/`."
"F0.2","Pin toolchains and dependencies","F0.1","Gradle, AGP, Kotlin, JDK, NDK, CMake, Rust, Crashpad revisions locked and verified","PASS","4e7959b70097426b253dda3671eef4a8b16ae1d9","Crashpad reuse rehashes the complete expected post-patch source tree against a tracked lock value. Round-2 acquisition additionally authenticates every archive's locked byte size/SHA-256 before extraction and rejects absolute, drive-prefixed, traversal, link, device, and FIFO entries before destination writes. See `evidence/phase0/review-fix-round2-host-validation.json`."
"F0.3","Crashpad privacy spike","F0.1;F0.2","Raw stream inventory, structural-summary prototype, seeded-secret results","IN_PROGRESS","","API-23 x86_64 and arm64 artifacts build. The required API 36 targeted run now passes with exactly the five allowed streams, seeded raw evidence present, no seeded summary value, and no internal-identity match. Full qualification remains pending. Evidence: `evidence/phase0/API36-x86_64-4096-review-fix-qualification.json`."
"F0.4","Android handler spike","F0.2","Multi-client handler on the required API 36 x86_64 4 KiB emulator, with restart/death evidence","IN_PROGRESS","","ADR-0009 makes the existing emulator the sole required lane. The targeted API 36 deadline regression passes; the complete lifecycle/performance run remains pending. Historical API 30/API 37 failures are retained but are no longer release gates."
"F0.5","Emergency fallback spike","F0.2","Fixed signal record survives pre-Durable and Crashpad-unavailable faults on the required emulator","IN_PROGRESS","","The API 36 targeted run passes emergency restart reset, handler-unavailable fallback, exact prior-action chaining, and observable signal death. The complete required run remains pending."
"F0.6","Live ANR spike","F0.3;F0.4","Functional watchdog, candidate capture, nonfatal request, lifecycle, bounded-work, timeout/cancellation, and resource smoke on the required emulator","IN_PROGRESS","","The API 36 targeted hung-handler deadline regression passes. The consolidated functional, false-confirmation, lifecycle, and resource smoke run remains pending. Historical percentile/target values remain evidence but are advisory under ADR-0010."
"F0.7","Baseline artifact and resource smoke measurement","F0.3;F0.4;F0.5;F0.6","Artifact hashes plus one-emulator app/handler resource baseline","IN_PROGRESS","","API-23 x86_64 and arm64 Crashpad artifacts build with 16 KiB ELF alignment retained, and the API 36 targeted fixture passes. One pinned-toolchain rebuild pair, resource baseline, and no-network smoke remain pending. Cross-environment byte-identical APKs and physical-device statistics are advisory under ADR-0010."
"P4.1","Snapshot selection and transformation","X3.2;R2.4;R2.5;R2.8;X3.10","Frozen transformed snapshot","PASS","","`OrdinarySourceRecord` accepts only bounded `GeneratedRecord` values and derives its payload internally; `RawArtifactSource` has no public byte accessor. UID quota check/insert, release, and usage queries are serialized, so concurrent exact-byte lease reservations cannot exceed a hard bound. `RecoveredSnapshotRequestAdapter` reads recovered Phase 2 frames by process role/cutoff and consumes the generated-record codec used by Phase 3 imported structural summaries. Evidence: `evidence/final/p4-recovered-store-adapter.json`."
"P4.2","Deterministic CBOR manifest","P4.1","Canonical manifest vectors","PASS","","RFC 8949 deterministic Kotlin and Rust encoders parse the shared fixture; the Rust test reruns the Kotlin test encoder and compares actual emitted byte arrays. Evidence: `evidence/phase4/review-fix-round2-host-validation.json`."
"P4.3","Constrained deterministic ZIP materialization","P4.1;P4.2","Bounded deterministic tbdiag bytes","PASS","","STORED deterministic ZIP, digest, malicious/boundary corpus, and actual-pipeline preview/approval digest fitness test pass on host. Evidence: `evidence/phase4/package-workflow-host-validation.json`."
"P4.4","Disclosure UI and approval","P4.3","Exact decode and opaque approval","PASS","","The sole concrete approval type is non-public and created by the Activity's private button-confirmation state machine; finalized package/manifest APIs are constructor-free interfaces. `javap -p` verification is recorded. Evidence: `evidence/phase4/review-fix-host-validation.json`."
"P4.5","FileProvider and Sharesheet","P4.4","Read-only local handoff","PASS","","Non-exported narrow staging `ContentProvider`, read-only URI grant/ClipData/Sharesheet, and TTL cleanup remain host-tested. Each lease independently reserves exact finalized bytes before writing; registration and expiry cleanup are serialized, and cleanup releases each lease exactly once. Evidence: `evidence/phase4/review-fix-round3-host-validation.json`."
"P4.6","SAF save","P4.4","Cancellable local document copy","PASS","","`ACTION_CREATE_DOCUMENT`, finalized-byte-only background copy, progress/cancellation, and typed partial-copy warning are host-tested. Evidence: `evidence/phase4/package-workflow-host-validation.json`."
"P4.7","Final receipt integration","P4.5;P4.6","Accurate observable outcome receipt","PASS","","Sealed approved receipt subvariants make failure/cancellation handoff unrepresentable: only `SaveSucceededPendingOrCompleteHandoff` has both `SaveResult.Complete` and a handoff. Evidence: `evidence/phase4/review-fix-round2-host-validation.json`."
"R2.1","Lifecycle/readiness runtime","C1.3","Install and four readiness states","PASS","abab979eab6237b4593dedce951ea04a18d96b50","Explicit volatile install, conflict/idempotency result, constrained provider fallback, and durable-after-policy transition tested."
"R2.2","Policy epoch protocol and local gate","F0.4;C1.1;R2.1","Epoch revalidation and barrier protocol","PASS","abab979eab6237b4593dedce951ea04a18d96b50","Persisted control-page seam and per-writer epoch/mask revalidation are implemented. X3.2 must provide handler ownership/global acknowledgements."
"R2.3","Bounded queues, barrier, health codes","R2.2","Fixed-capacity policy-aware queues","PASS","abab979eab6237b4593dedce951ea04a18d96b50","Fixed priority queue, local barrier purge, and recursion-free health counters are tested. X3.2 triggers the cross-process barrier."
"R2.4","Segment framing/recovery","C1.2;C1.6","Valid-prefix append-only segment recovery","PASS","1ae57abc378f352afeb6d98488aa1d702bf8543d","CRC32C framed segments recover valid prefixes and seal immutably. Segment/process IDs are injected only from a Phase 1 persist-before-use allocator bridge."
"R2.5","Role and UID-wide quotas/retention","R2.4","Complete hard storage bounds","IN_PROGRESS","","Quota, stable-role retention, UID bucket accounting, metadata bounds, and priority eviction primitives are tested; writer/handler ownership integration remains required."
"R2.6","Lazy metadata summaries/index","R2.4;R2.5","Rebuildable index and index-free planning","PASS","1ae57abc378f352afeb6d98488aa1d702bf8543d","Direct segment scan is authoritative; bounded index rebuild/delete fallback is tested."
"R2.7","Direct Boot C0 module","C1.1;R2.2;R2.4","C0-only DE store and two-phase deny mirror","IN_PROGRESS","","Typed C0-only store and crash-safe pending/active mirror are tested; schema compiler generation and production CE/global coordinator wiring remain required."
