requirement_id,source,source_file,source_locator,requirement,implementation_path,test_or_evidence_path,required_matrix,status,satisfied_by_prior_commit
"ADR1-L0009","ADR0001","docs\adr\0001-foundation-architecture.md","line 9; section Context","Tracebox must provide dependable offline diagnostics for JVM, C/C++, Rust, native crashes, and ANRs on Android API 30-37. Native crash and live ANR evidence are foundation requirements. The runtime must not introduce networking, and users must approve exact package content before export.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","API30_API37_X86_64_AND_ALL_AVAILABLE_ARM64; page-size cells where available","NOT_STARTED",""
"ADR1-L0015","ADR0001","docs\adr\0001-foundation-architecture.md","line 15; section Option A: In-process recorder with system exit history","Lowest resource and implementation cost.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0016","ADR0001","docs\adr\0001-foundation-architecture.md","line 16; section Option A: In-process recorder with system exit history","Insufficient native crash fidelity.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0017","ADR0001","docs\adr\0001-foundation-architecture.md","line 17; section Option A: In-process recorder with system exit history","Cannot preserve live ANR evidence before process termination.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0023","ADR0001","docs\adr\0001-foundation-architecture.md","line 23; section Option B: Mandatory full telemetry/crash platform","Rich data and broad capabilities.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0024","ADR0001","docs\adr\0001-foundation-architecture.md","line 24; section Option B: Mandatory full telemetry/crash platform","Excessive privacy, dependency, performance, and delivery scope.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0025","ADR0001","docs\adr\0001-foundation-architecture.md","line 25; section Option B: Mandatory full telemetry/crash platform","Conflicts with offline-only and allowlisted-data goals.","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0031","ADR0001","docs\adr\0001-foundation-architecture.md","line 31; section Option C: Hybrid recorder with one capture-only native handler","Per-process ordinary segments.","native/; android/tracebox-native/; android/tracebox-anr-exit/","evidence/phase0/; benchmarks/; test-apps/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0032","ADR0001","docs\adr\0001-foundation-architecture.md","line 32; section Option C: Hybrid recorder with one capture-only native handler","Separate-process Crashpad for native capture.","native/; android/tracebox-native/; android/tracebox-anr-exit/","evidence/phase0/; benchmarks/; test-apps/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0033","ADR0001","docs\adr\0001-foundation-architecture.md","line 33; section Option C: Hybrid recorder with one capture-only native handler","Minimal emergency fallback.","native/; android/tracebox-native/; android/tracebox-anr-exit/","evidence/phase0/; benchmarks/; test-apps/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0034","ADR0001","docs\adr\0001-foundation-architecture.md","line 34; section Option C: Hybrid recorder with one capture-only native handler","In-process adaptive ANR watchdog with on-demand handler snapshot.","native/; android/tracebox-native/; android/tracebox-anr-exit/","evidence/phase0/; benchmarks/; test-apps/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0035","ADR0001","docs\adr\0001-foundation-architecture.md","line 35; section Option C: Hybrid recorder with one capture-only native handler","Post-restart OS reconciliation.","native/; android/tracebox-native/; android/tracebox-anr-exit/","evidence/phase0/; benchmarks/; test-apps/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0036","ADR0001","docs\adr\0001-foundation-architecture.md","line 36; section Option C: Hybrid recorder with one capture-only native handler","Deterministic user-approved offline packages.","native/; android/tracebox-native/; android/tracebox-anr-exit/","evidence/phase0/; benchmarks/; test-apps/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0044","ADR0001","docs\adr\0001-foundation-architecture.md","line 44; section Trade-off matrix","Crash/ANR fidelity | 0.25 | 4 | 9 | 9","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0045","ADR0001","docs\adr\0001-foundation-architecture.md","line 45; section Trade-off matrix","Privacy control | 0.20 | 8 | 4 | 8","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0046","ADR0001","docs\adr\0001-foundation-architecture.md","line 46; section Trade-off matrix","Healthy-state overhead | 0.15 | 9 | 4 | 8","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0047","ADR0001","docs\adr\0001-foundation-architecture.md","line 47; section Trade-off matrix","Offline maintainability | 0.15 | 8 | 3 | 8","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0048","ADR0001","docs\adr\0001-foundation-architecture.md","line 48; section Trade-off matrix","Implementation risk | 0.15 | 9 | 3 | 5","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
"ADR1-L0049","ADR0001","docs\adr\0001-foundation-architecture.md","line 49; section Trade-off matrix","Future extensibility | 0.10 | 4 | 9 | 8","See implementation ledger and architecture module map","evidence/; module tests; conformance/","HOST_UNIT_STATIC; applicable Android endpoint","NOT_STARTED",""
